"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-A-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-B-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-C-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-A-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-B-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-C-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_AI.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-B.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-C.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-A-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-B-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-A-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-C-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_AI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_BI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_CI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_CI.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-B.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-C.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-C.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-B.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_BI.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-C-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-B-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_AS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_BS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_AS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_BS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_CS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_CS.raw.dia"
"Tb927.5.2510:mRNA-p1"	860031.883359838	735958.770189117	647642.003567591	NA	NA	NA	NA	2705625.15528369	2612696.55410284	2150500.98708032	2356014.86822783	2540039.11605801	1985526.40443212	1205589.59894523	1176388.80030157	1121582.76280211	1101973.97285666	364895.853219311	2761214.66830929	2862796.18797341	2804523.93136257	2726113.53332005	1779872.61157999	1877604.06772574	593970.653448038	2784894.59727104	1661946.41625117	2476336.98940996	2477367.02385016	1602296.93546065	1742893.22333676	1609727.85685702	2233413.61310635
"Tb927.4.3380:mRNA-p1"	3136854.92709852	3120819.64664388	2819763.95300372	2791071.86926774	2833504.46945283	2937064.05237817	4639983.69540831	8110580.51510721	8067473.81069133	8277014.45981559	6901022.34229008	6981751.98841568	6540895.47268288	7142430.98362113	4840398.89006706	4643598.93244292	4966750.98360386	4620913.32042122	8010260.36526668	8222226.25724591	7788892.93454956	7731666.00665173	8027563.78354613	8241261.30369139	4767489.5108028	6942882.16861016	6652639.67452463	5335888.6710215	5551299.87434001	5564286.50975531	5840683.31085878	5928674.88458461	5468146.88981273
"Tb927.11.14260:mRNA-p1"	518354.405038023	2825401.99667077	NA	670963.07521425	1568303.02410689	759586.019619028	1430793.62731433	1357207.71620515	1626933.67675383	1489766.88198291	1774083.34590082	2061992.03951835	1518529.91089495	2393061.04565135	806357.127682264	800201.656615177	649613.353186569	1285221.49656259	1720928.98510073	1572378.87305018	1401352.94310344	1294546.90668331	1676931.37233065	1925239.28774164	1622606.99520491	2335956.59627834	2220834.87670935	902140.290808525	664938.670772811	772809.121626501	909153.548374131	804638.769101216	1014091.99260945
"Tb927.10.14140:mRNA-p1"	40556988.0062964	29652348.2584462	30937574.1116899	38668377.8198597	38111008.3152716	36148331.544568	42419637.4386926	1556153396.47622	1519665021.66748	1825651256.53773	1663361855.7387	1574622707.8227	1883005282.40963	1528623550.18347	39849443.1490236	34148344.1363393	53104041.2159673	51035295.8368548	1497036312.72801	1494324194.34179	1541081607.93255	1581570594.99582	2104864796.44702	1852169982.55203	45485796.1190783	1505208887.38844	1562594022.55327	2081488118.10476	2055249221.28196	2445271963.32751	2275370470.4965	2518455111.10145	2103708006.16113
"Tb927.11.14170:mRNA-p1"	1044265.65570399	1018467.20944954	939773.950329766	646677.601264145	618758.418986232	668514.640518641	582976.194305841	3869657.23577492	3585207.73960447	3532549.93517787	3824502.65452502	3660195.69796097	3660270.75988978	3460071.77035416	1436085.56881122	1492577.40251865	1341383.49887457	660263.344863111	3817073.51499172	3762026.50844128	3720560.28491623	3538161.52944956	3162183.32048422	2936220.61445499	716543.684724064	3418124.06761879	3542946.82417237	3045773.81370615	3059413.49060724	2478125.08149327	3081078.08201222	2865823.81659328	2717119.4532009
"Tb927.1.3050:mRNA-p1"	1454894.53776317	1402752.45693443	1515242.36997105	1750994.96376858	1741563.10157261	1555734.93156714	1871642.56850528	4636006.29986373	4217207.23159988	4533598.91572074	4637384.21314339	4518527.31578954	4141771.66449061	4050091.79804412	1707198.16059128	1520527.27823785	1565554.382453	1772212.06973789	4320866.89597816	4733641.58739745	4708968.62955613	4423295.72942876	4282150.91923861	4263544.74326774	1800662.08094694	4495738.72638872	4250196.16168392	4502046.7113469	4316812.21451471	3838028.43856481	3768552.57971897	3940121.8045667	4430693.61099817
"Tb927.10.10030:mRNA-p1"	1351045.40665039	1142625.18882297	1186974.4237831	1249154.201196	1076389.40459336	1152622.49359671	822106.403931679	13594243.870685	5134796.31746824	7351694.63032456	7432569.07445159	11608746.6979584	12079729.0165384	20606539.9984101	1260051.11995104	1359421.22401387	1266601.514933	1075689.43976126	6090460.13176598	5962629.0606528	6162730.42997646	4017275.27033036	35252180.3374706	28897566.0938949	1314817.60787446	17877372.9918524	14464832.8500608	12121668.7695391	14076811.975795	17947042.6994994	17835177.4350731	17371663.9083641	13794443.4573993
"Tb927.7.3770:mRNA-p1"	1150221.85713962	1043323.29743828	1175186.71967492	506501.754763451	691021.90466506	642949.38408546	547795.10964335	8623927.17391315	8856996.77773818	8942347.05643512	11940122.2090618	11519099.4979147	11885514.8509434	9943884.72228915	1778432.09959017	1374244.76292772	1664376.06804914	688109.430820897	8648221.05939366	8541368.54219368	7852059.73951859	8766982.4685001	9353797.81735146	9662534.18159075	581202.353923822	11010033.9840793	10777922.9612359	11527341.1175115	12982592.708233	11163142.773918	11658378.7182399	11419085.1109709	12901268.3839994
"Tb927.7.4410:mRNA-p1"	6709021.32096171	6874161.14940122	7095568.24597801	6903194.07867521	7303978.01318663	6594460.92416829	7352142.79773172	2749279.6682619	2862778.79753758	2985494.04418251	NA	NA	NA	NA	8252185.9731337	7919125.5391374	8390915.89589858	7590564.55775223	2697633.45575777	2748361.90892061	2719373.03031013	2800202.74963789	2888802.71152722	3171584.17975412	7518196.82292294	NA	NA	NA	NA	NA	NA	NA	NA
"Tb927.4.1850:mRNA-p1"	8785628.95513686	8606112.78873946	8423188.23231349	11930107.2052573	11705396.4871929	11117294.2655155	8948588.52913031	28870652.4602606	27834434.438626	26697012.5627264	22790198.8345549	22885473.9806666	22205354.0701243	23061196.2869396	4865457.25324327	5132456.44742201	5273569.57585075	7803561.94802286	27935487.3398358	26985767.1987763	27710370.895236	27776557.0810747	26885065.8544973	26656952.2587278	8354961.72502167	23276073.6378301	22372896.4029489	23537737.0547057	21878914.7480817	24270840.4210395	25486482.9158989	24168303.0689529	22733848.6450192
"Tb927.8.3970:mRNA-p1"	2409948.44480466	2118092.88178449	2951796.96336128	2121056.44854131	1834320.08944927	2474565.67339433	2192845.52217701	13349011.4348049	13621195.0703501	12958407.2838156	11289880.2779594	11479362.2644439	10719337.0986441	11597150.6810823	2462098.52343069	2052521.46612253	2089256.91806411	2495518.49665519	12732475.6618639	12676499.2821158	13286582.2087938	13862569.2196907	13030359.9716907	13468482.000803	2581909.46146669	11826769.9895531	11182238.2388367	10416833.7103506	9567289.34132266	10478581.6351377	10523192.0479201	10682856.6398472	9616124.97277808
"Tb927.9.5730:mRNA-p1"	24094744.1747565	22079148.0682168	24686675.0729005	23147970.6081347	22257230.7386476	20227575.6023331	18820340.6103271	41648094.4155796	41579446.0189547	41246337.6098911	36470147.2865583	36181771.4474219	42052570.7014178	37297548.9544674	22614020.4551263	23410057.7238907	23320860.7875255	20019175.6497491	40451924.4339475	41572003.492668	43314869.7806624	39198462.338954	45117484.8269342	45551350.0474766	20230795.9063578	33354857.3037121	35151429.1764719	33768600.3542433	30764671.7054183	39537833.4566107	41336727.3334467	41220490.5218813	31727221.0560297
"Tb927.3.3120:mRNA-p1"	7316064.35664012	7525009.59415234	7793116.2373368	7374076.27329195	7502117.45725564	7742925.84721798	7219072.38360353	4075457.44713599	3766362.13453976	3812512.14432904	597386.464396137	636614.715207297	714659.343679887	610628.456963432	7923888.07472423	8121836.83424681	7870667.92336995	7836060.87139345	3756809.77653151	4022996.59848828	3962408.4624642	3915224.15504157	4030910.72289144	3996368.87943098	7481078.81689412	646655.160504895	573112.67779032	502259.298936455	519192.44605801	573893.525370839	565681.727298827	463018.493772217	493670.847194942
"Tb927.8.780:mRNA-p1"	2612444.52891676	2550058.82395782	2660725.20838721	2646889.0594632	2627945.57443801	2630135.7195232	2387943.71155956	1399812.94641741	1395458.96579299	1417431.39873437	NA	NA	NA	NA	2430202.86207774	2484855.85345041	2766853.5011887	2563506.58912975	1382906.55723191	1528567.81587035	1336357.22952164	1269982.25093651	1482034.42297954	1376175.31880098	2532554.92080196	NA	NA	NA	NA	NA	NA	NA	NA
"Tb927.5.4340:mRNA-p1"	2021817.35149523	2096465.20513366	1903481.56681173	2065854.05104179	2197517.69925489	2341992.88141277	1993107.99381932	1125873.93544843	820570.256786064	1028865.79071597	NA	NA	NA	NA	1693162.78485958	1796430.44371667	1729654.67951058	1878442.46360469	738340.120693044	1191677.84428785	1209707.42280709	949457.599286461	1168595.65618241	985684.926135639	2103223.44882132	NA	NA	NA	NA	NA	NA	NA	NA
"Tb927.11.1110.1-p1"	26897955.2333331	24192766.6303677	27132380.7095455	24906757.9447857	24628652.0610264	26635490.1284045	27814651.6127658	15270897.9218737	15713845.3770374	16772794.066776	5422556.67826008	5108932.56816176	4785541.50324438	3314607.07293974	30298185.0842938	27948474.9091612	28824412.9499747	29572712.6330291	15332196.6981861	15732960.9731397	15316138.9023277	16626904.0063453	17274548.5776041	16843753.5574284	27025373.047021	4563622.22019077	3871545.08296616	3585367.57676274	4346878.51775314	3498623.09864111	4747782.56192687	4435248.83685248	4408173.91629758
"Tb927.1.4010:mRNA-p1"	3430309.05117123	3420170.87875115	3573603.43082374	3503556.07159222	3528686.06017887	3409846.34586097	3313196.10565183	1285217.26281457	1312466.09473321	1276688.16941223	NA	274400.023994858	427206.262263981	NA	3303279.57095601	3128028.97776562	3105234.00984052	3355378.82035796	1386396.54536051	1383710.35934957	1461593.08541598	1195172.71515404	1349373.29129111	1468400.93375021	3591368.03131182	NA	NA	NA	NA	NA	333646.409465691	NA	NA
"Tb927.10.13280:mRNA-p1"	4443009.95994029	3934772.00392633	4371220.10669288	4459167.53222141	4016866.46816537	3943402.51531792	9389640.88552706	21960808.4641326	20127811.5701136	20166306.5255248	16995406.0461278	16336238.4786441	17837333.9346023	17074250.7196243	6403464.55181824	6553868.21893709	8935716.92212298	7667219.55718912	21205885.4793173	21163781.0868573	20200954.0641409	20979851.561656	19808448.2177035	19680218.4474205	9288568.36531609	15171614.4407201	17280261.9561476	15279942.6631745	14295345.0232842	14502611.5795555	15998811.3288991	16478270.7647946	13293073.9152831
"Tb927.7.6760.1:mRNA-p1;Tb927.7.6760.2:mRNA-p1"	1062709.67342929	1167704.54632127	1170569.64119208	1488272.86633696	1056972.6519529	1170444.96336416	1247590.17985728	893807.851097375	852248.818203481	871949.429697686	1191278.70048684	NA	NA	NA	1369590.45378518	1455629.42898723	1290950.53571388	1327088.15431176	949643.434973537	964207.908975025	623653.115304912	790062.674149357	1118658.2283546	1167145.33525503	1674243.5531266	NA	NA	344497.025386236	NA	NA	443799.320391868	604642.414290883	785161.993541311
"Tb927.10.11420:mRNA-p1"	464329.450627196	490361.793168979	437536.75649604	290591.625670191	338493.084652624	309177.183669922	306426.944030478	394457.92891455	505064.440821605	528368.864952349	414760.934991946	284178.770430903	379679.220080872	252454.557277631	488190.596153445	511897.388382583	473547.46519505	368206.805223153	550853.226380966	491887.761933677	530018.69365868	514472.289189754	612533.268435473	472728.180305601	319787.032504914	330469.268334915	263408.139778204	317945.678768724	295206.352988933	287703.139537809	305861.373485971	341154.958666514	355227.094955578
"Tb927.1.3260:mRNA-p1"	590772.290161743	379337.632396915	675460.863480765	471824.433303813	396902.442768544	430654.061762095	566413.343980009	15904724.5696794	14989598.6904526	14701226.953317	16975851.1142092	16447847.1148378	15409594.006765	14168256.3310338	526779.178348452	606414.52651718	765189.810718975	689421.747065139	15715639.456502	15412700.9309536	14613678.9495049	15412057.9505375	14963743.1342525	15633337.1541826	618935.538727003	15003516.2211218	14480266.8434864	15169369.794734	16021603.5186146	15436242.7902469	15676329.7117627	16721361.7506195	16929042.4345912
"Tb927.5.1250:mRNA-p1"	304594.502783998	214002.70924249	217686.513092469	NA	487233.445037895	NA	NA	9789757.35915523	10275618.2358148	7641686.7338795	12507298.502533	11070003.862502	7525105.39170356	6417122.05668802	306712.614593753	445590.483161679	313788.622822212	203344.126722028	9167775.02665458	9693758.51247093	9348568.11295647	9448369.49335585	6912618.85135901	7550893.62833597	199768.076636331	10009711.5943317	6802090.70845316	11021492.1725258	11370639.6935108	6852466.41320134	8500633.62965238	8442611.97860757	11113375.73841
"Tb927.7.1240:mRNA-p1"	11471319.2585452	10938228.8495937	12107595.3996086	14783006.9360642	15190158.8851926	14677562.3601548	18063030.9148372	12014723.2505949	11974992.3393771	11538184.4798481	8133931.83650483	7486367.82907193	6999558.78796354	4975378.202774	13268631.0394289	12728377.7498566	12325011.6445718	18251560.360676	11497890.2676276	11337326.3058062	11166911.4497676	11642856.7805607	11091131.0421649	11160942.0059052	17327396.0433627	6636447.57473838	5261912.47502084	6722238.59136337	6669161.78578993	5396185.63838161	5420892.71504889	5750328.18182406	6904323.46354892
"Tb927.9.5380:mRNA-p1"	8765703.76680628	8673813.12385411	8507105.02447423	9182037.76611037	8795142.72822743	8707713.16088578	8260338.68468907	4927027.2754479	4990890.68769409	4639316.78912245	946536.466112626	956920.271913577	1399920.41433151	770535.832954889	7724214.3039013	7212318.15268256	7479997.96095723	8202038.08429331	4794455.73224301	4802518.09771638	4690533.86652998	4866919.15339457	4836077.69096417	4596725.46259523	7802482.97267417	1131893.36839491	848874.965771278	521811.619522115	611818.34109798	476914.829009343	550322.629210678	494800.528664466	684705.444547393
"Tb927.9.12880:mRNA-p1"	4025470.1958811	4015023.862799	4346367.18670479	4074926.00486535	4313922.22835482	4080554.9865572	5047028.91897411	4534992.82668822	4319646.15593371	4125321.07953835	2431846.02156324	2402829.50899902	2459145.89235807	2406625.20626247	4781318.31245705	4719569.23336245	4790922.70535767	5035262.64813544	4316002.2076636	4244028.58481339	4137643.18654855	4132155.04877421	3889034.3180252	4003157.11066574	5211428.66259547	2271649.60884892	2488481.99174227	2276929.86363173	2204202.27366412	1991559.50923859	2102539.51701701	2192794.19008848	2264231.26830207
"Tb927.10.14500:mRNA-p1"	222692236.028219	193807608.504686	199624432.482254	202427331.168953	203757027.423437	199150069.173311	223197688.714358	32453783.9704518	25326889.3740852	31763728.7488151	7329356.0458128	8982443.3452192	6817840.89641532	5396211.70505298	237641593.683926	218488167.797066	243053723.803493	233073583.091513	26810578.1938698	27057489.8193569	27212041.9064632	30193909.3950573	40767486.280612	35213108.3253345	205561487.934569	9594229.09248831	6754452.45545	7206822.89847441	6432160.35010249	4166815.80080337	5582146.25224283	5490517.50832267	7018521.33225039
"Tb927.11.16050:mRNA-p1"	1165064.52812117	983846.684026445	949739.883478761	1633347.27947264	1251211.89928193	947565.730818696	997667.974552835	5362467.36989047	5255719.97219912	5491801.16192877	5278995.16480607	4889066.71408844	6145205.39512844	5521199.85043852	615901.133609765	NA	NA	1073219.58836731	5638007.88128842	5239501.23249083	5370404.99755999	5146887.83366487	5786957.45680349	5613512.70313656	1134772.44606641	4865228.87837867	5465437.69979573	5215130.47528099	4889722.72134928	6056337.28178191	5746264.05187878	5777809.2074136	4644146.29769798
"Tb927.10.12390:mRNA-p1"	14792259.6078533	15099234.9914734	15084533.8455424	15330919.3595842	14824495.5954163	16097268.7547779	14230759.2830132	3750301.88991604	2559935.40207117	2980486.90943227	1760856.29407053	2278496.78363857	2462852.82540859	2464924.52762044	13081420.1655545	12942392.2281643	12867323.4648255	14426844.7215694	2270593.95522193	3180131.75342574	3475933.6345555	3117868.41952154	5666761.64418888	4746008.3798795	13756341.9906995	2313027.55941194	2521855.98888779	2030910.20056901	1972717.16049677	2117243.43605063	2086025.28561432	1982718.95493113	2060782.57383214
"Tb927.4.1170:mRNA-p1"	1918173.29050272	2301424.70174065	1604093.07019838	1915568.9519979	2178180.26382254	2022476.10876281	2403580.13857685	8297100.97429278	9321530.31369047	8876553.4543963	7236334.47206962	7849899.95691834	8996466.79131655	10466407.2899711	2594270.83213164	2442038.32252972	2511880.89776639	2676427.28542893	8478731.681542	8597212.51784891	9608195.54439821	9512333.56163538	8328888.60493482	8176819.66515889	2464731.53273439	8125911.36114138	9895837.12882328	7061580.02219217	6536394.08113931	8698673.46929208	8133431.04069076	7522656.55370886	6551328.53748063
"Tb927.11.12380:mRNA-p1"	967960.969777206	1106156.59997352	1042472.37055824	738887.102303862	1088389.96524707	914460.42813943	735311.169409848	3722795.07574456	3786198.63616137	3649057.26624199	3995002.95896282	3974312.31396059	4363436.29296447	4003240.5743591	717041.77148753	619352.393927092	829437.487997553	752749.403945484	3485035.06445347	3591986.49240785	3706716.75093151	3453817.64895138	3535124.5543638	3635287.10980151	868277.181050648	3745827.70284247	3499315.32840845	4909374.07669558	4528220.76218019	3915720.08123159	3730764.18918647	4064671.50228329	4698742.01483915
"Tb927.5.3800:mRNA-p1"	3599435.01083826	3158475.8053586	3355674.43095918	3147675.62951283	2912179.77945154	3207857.75362742	3169919.79005353	76141451.8935882	70069853.038941	74151741.3796008	76665528.942289	70048397.9446983	72646775.1967297	59333978.0135163	3904443.107104	3667208.58632575	4310770.07956519	3751690.71658908	71205295.4111333	71968848.1469481	74414229.3179998	76168245.7518382	77899346.3534671	75715860.3476143	3639104.33585405	64500863.0441166	62022461.2661146	79322415.3899244	72254032.0471641	72146158.2254681	80722761.3886944	82646769.1792869	75291533.5175443
"Tb927.10.12510:mRNA-p1"	4614051.48054367	4070643.23149663	4732113.77678092	2254987.85659351	2159956.11015686	2155897.01851077	3374696.93799119	71792812.8597402	71626892.5801945	68544036.958077	76976294.0490048	73635885.2848452	72728606.2562769	64981388.1747439	6598430.49276226	6141021.77517185	6813802.30513779	3334055.57055149	71803546.7766131	69360716.8479606	70692690.0211487	73974000.1155689	66902101.5936747	65663834.7622292	3055696.21014717	69070810.6139603	65889871.574565	72751913.0122221	75405454.7619917	70989659.9937248	69571992.4927733	65617427.9783825	74153699.5960116
